Location,Latitude,Longitude,Height_m,Slope_Angle,Danger_Rating
Batu Caves Cliff,3.2373,101.6839,100,85,High
Gunung Raya Cliff,6.3333,99.8333,80,80,Medium
Teluk Cempedak Cliff,3.8167,103.3667,40,75,Medium
Batu Hitam Cliff,3.8167,103.3667,35,70,Medium
Gua Tempurung Cliff,4.3833,101.1833,60,80,High
Gunung Lang Cliff,4.85,100.9333,50,75,Medium
Bukit Takun Cliff,3.2333,101.6333,70,85,High
Gunung Datuk Cliff,2.535,102.1767,45,80,High
Gunung Lambak Cliff,2.285,103.6217,30,70,Medium
Gunung Pulai Cliff,1.56,103.5517,35,75,Medium
Niah Caves Cliff,3.8167,113.7667,90,85,High
Gunung Mulu Cliff,4.05,114.9167,120,90,Extreme
Gunung Santubong Cliff,1.7333,110.3333,60,80,High
Gunung Gading Cliff,1.7,109.85,40,75,Medium
Gunung Api Cliff,4.1333,114.9167,150,90,Extreme
Gunung Buda Cliff,4.4667,114.8833,110,85,High
Gunung Benarat Cliff,4.0833,114.9333,130,90,Extreme
Gunung Murud Cliff,3.9167,115.3333,100,85,High
Gunung Trusmadi Cliff,5.55,116.5167,90,80,High
Gunung Kinabalu Cliff,6.075,116.5583,200,90,Extreme
Gunung Tambuyukon Cliff,6.2,116.6667,150,85,High
Gunung Lotung Cliff,4.5667,115.5,80,80,High
Gunung Pueh Cliff,1.7667,109.7667,60,75,Medium
Gunung Serapi Cliff,1.5667,110.2,50,70,Medium
Gunung Pagon Cliff,4.6667,115.3333,70,80,High
