Location,Latitude,Longitude,Area_ha,Canopy_Height_m,Fire_Risk,Drought_Tolerance
Langkawi Granite Forest,6.35,99.8,12500,25,Medium,High
Perlis Karst Forest,6.5,100.25,8500,22,High,Very High
Kedah Limestone,5.8333,100.75,6200,20,High,Very High
Ipoh Karst Hills,4.6,101.0667,3800,18,Very High,Extreme
Kinta Valley Scrub,4.5,101.0833,7500,15,Very High,High
Kuala Kangsar Dry,4.7667,100.9333,4200,17,High,Very High
Lenggong Dry Forest,5.1167,100.9667,5800,19,Medium,High
Baling Xeric Forest,5.6667,100.9167,6800,21,High,Very High
Gerik Dry Slope,5.4167,101.1333,9200,23,Medium,High
Jeli Thorn Forest,5.7,101.8333,5400,16,Very High,Extreme
Gua Musang Dry,4.8833,101.9667,12500,24,High,Very High
Kuala Krau Scrub,3.5,102.1667,3800,14,Very High,High
Rompin Dry Woodland,2.75,102.5167,6500,18,High,Very High
Segamat Dry Forest,2.5,102.8167,4200,16,Very High,High
Labis Xeric Area,2.3833,103.0167,5300,17,High,Very High
Bekok Dry Woodland,2.3333,103.0833,4800,15,Very High,High
Kluang Scrub,2.0333,103.3167,7200,19,Medium,High
Mersing Dry Forest,2.4312,103.8405,5800,20,High,Very High
Endau Dry Zone,2.6167,103.6167,4900,18,High,Very High
Kota Tinggi Thorn,1.7333,103.9167,6200,21,Medium,High
Desaru Dry Woodland,1.5667,104.2667,3800,16,High,Very High
Sungai Rengit Scrub,1.6333,104.0833,4200,15,Very High,High
Pengerang Xeric,1.3667,104.1167,5400,17,High,Very High
Tanjung Balau Dry,1.6,104.2333,3200,14,Very High,High
Kukup Dry Forest,1.3167,103.45,1800,12,High,Medium
Pontian Scrub,1.4833,103.3833,2500,13,Medium,Medium
Kulai Dry Woodland,1.6667,103.6,3800,15,High,High
Senai Xeric Area,1.6,103.65,2900,14,High,Medium
Skudai Dry Forest,1.5333,103.6667,2100,12,Medium,Medium
Gelang Patah Scrub,1.45,103.5833,1800,11,High,Medium
