Location,Latitude,Longitude,Annual_mm,Max_Month,Min_Month,Pan_Type
Kuala Lumpur,3.139,101.6869,1650,March,December,Class A
Penang Island,5.4141,100.3288,1700,February,November,Class A
Langkawi,6.35,99.8,1750,March,December,Class A
Kota Bharu,6.1256,102.2437,1800,April,December,Class A
Kuantan,3.8167,103.3333,1720,March,December,Class A
Johor Bahru,1.4854,103.7618,1680,February,November,Class A
Kota Kinabalu,5.9804,116.0735,1850,April,January,Class A
Kuching,1.5397,110.3549,1600,March,December,Class A
Miri,4.3995,113.9914,1750,April,January,Class A
Sandakan,5.8394,118.1173,1900,May,January,Class A
Tawau,4.2495,117.8878,1950,May,January,Class A
Labuan,5.2767,115.2417,1820,April,January,Class A
Kuala Terengganu,5.3296,103.137,1780,April,December,Class A
Cameron Highlands,4.4683,101.3767,1200,April,December,Class A
Genting Highlands,3.425,101.7933,1100,April,December,Class A
