Location,Latitude,Longitude,Length_km,Width_m,Depth_m,Flow_Rate_m3s,Primary_Crop,Year_Constructed
Sungai Besar Canal,3.6667,100.9833,12.5,8,2.5,3.2,Paddy Rice,1985
Krian Irrigation Canal,5,100.55,25.8,10,3,5.8,Paddy Rice,1972
Kerian Irrigation Scheme,4.9167,100.6333,42.3,12,3.2,7.5,Paddy Rice,1930
Besut Irrigation Canal,5.8333,102.55,18.6,7.5,2.3,2.9,Paddy Rice,1982
Kemubu Irrigation Canal,5.5333,102.2,15.2,6.8,2,2.5,Paddy Rice,1975
Muda Irrigation Canal,5.3667,100.55,36.4,9.5,2.8,4.8,Paddy Rice,1970
Perak Tengah Canal,4.25,100.95,22.7,8.2,2.4,3.5,Paddy Rice,1988
Selangor Barat Canal,3.5,101.0833,14.8,7,2.1,2.8,Paddy Rice,1992
Ketara Irrigation Canal,5.7167,102.4833,9.6,5.5,1.8,1.5,Paddy Rice,1980
Penaga Irrigation Canal,5.5833,100.3833,7.3,5,1.6,1.2,Paddy Rice,1978
Seberang Perak Canal,4.0833,100.75,11.2,6.2,1.9,2.1,Paddy Rice,1985
Pulau Pinang Canal,5.4167,100.3167,8.9,5.8,1.7,1.8,Vegetables,1995
Johor Barat Canal,1.9167,102.75,6.5,4.5,1.5,1,Oil Palm,2002
Kedah Utara Canal,6.1667,100.4167,13.4,6.5,2,2.3,Paddy Rice,1976
Terengganu Selatan Canal,5.0833,103.0833,10.8,5.2,1.8,1.6,Paddy Rice,1987
Pahang Timur Canal,3.8333,103.3333,9.3,5,1.6,1.3,Paddy Rice,1990
Melaka Irrigation Canal,2.25,102.25,5.7,4,1.2,0.8,Fruits,2005
Negeri Sembilan Canal,2.75,102.25,7.2,4.8,1.4,1.1,Vegetables,1998
Kelantan Delta Canal,6.1667,102.2833,8.4,5.5,1.7,1.5,Paddy Rice,1983
Perlis Irrigation Canal,6.4333,100.2,6.8,4.2,1.3,0.9,Paddy Rice,1974
Rompin Irrigation Canal,2.75,102.5167,5.2,3.8,1.1,0.7,Oil Palm,2008
Segamat Canal,2.5,102.8167,4.9,3.5,1,0.6,Rubber,2010
Bera Irrigation Canal,3.4167,102.5833,7.6,4.6,1.5,1,Paddy Rice,1994
Kuala Langat Canal,2.8333,101.5,5.5,4,1.2,0.8,Oil Palm,2006
Muar Irrigation Canal,2.05,102.5667,6.3,4.3,1.3,0.9,Vegetables,2003
