Location,Latitude,Longitude,Annual_mm,Wettest_Month,Driest_Month,Rain_Days
Kuala Lumpur,3.139,101.6869,2400,November,June,180
Penang Island,5.4141,100.3288,2670,October,February,190
Langkawi,6.35,99.8,2500,September,February,170
Kota Bharu,6.1256,102.2437,2850,December,March,160
Kuantan,3.8167,103.3333,2950,December,March,170
Johor Bahru,1.4854,103.7618,2350,November,July,160
Kota Kinabalu,5.9804,116.0735,2650,October,March,150
Kuching,1.5397,110.3549,4150,January,July,220
Miri,4.3995,113.9914,3000,December,April,200
Sandakan,5.8394,118.1173,3050,December,April,190
Tawau,4.2495,117.8878,1800,December,April,130
Labuan,5.2767,115.2417,2800,November,March,180
Kuala Terengganu,5.3296,103.137,2900,December,March,150
Cameron Highlands,4.4683,101.3767,2700,November,February,200
Genting Highlands,3.425,101.7933,3600,November,February,220
Ipoh,4.5975,101.0901,2350,October,February,160
Malacca,2.1896,102.2501,2100,November,July,150
Alor Setar,6.1213,100.3678,2200,October,February,140
Taiping,4.85,100.7333,3800,October,February,210
Seremban,2.7297,101.9381,2000,November,July,150
Kuala Lipis,4.1833,102.05,2300,November,February,160
Gua Musang,4.8833,101.9667,2200,November,February,150
Kuala Pilah,2.7333,102.25,1900,November,July,140
Port Dickson,2.5228,101.7969,1800,November,July,130
Pulau Tioman,2.8186,104.16,2100,November,March,120
