Location,Latitude,Longitude,Annual_kWh_m2,Daily_Avg_hrs,Max_Month,Min_Month
Kuala Lumpur,3.139,101.6869,1580,4.3,February,November
Penang Island,5.4141,100.3288,1620,4.4,February,November
Langkawi,6.35,99.8,1650,4.5,March,December
Kota Bharu,6.1256,102.2437,1680,4.6,April,December
Kuantan,3.8167,103.3333,1550,4.2,February,November
Johor Bahru,1.4854,103.7618,1520,4.2,February,November
Kota Kinabalu,5.9804,116.0735,1720,4.7,April,January
Kuching,1.5397,110.3549,1480,4.1,March,December
Miri,4.3995,113.9914,1600,4.4,April,January
Sandakan,5.8394,118.1173,1750,4.8,May,January
Tawau,4.2495,117.8878,1780,4.9,May,January
Labuan,5.2767,115.2417,1700,4.7,April,January
Kuala Terengganu,5.3296,103.137,1580,4.3,April,December
Cameron Highlands,4.4683,101.3767,1320,3.6,April,December
Genting Highlands,3.425,101.7933,1250,3.4,April,December
Ipoh,4.5975,101.0901,1550,4.2,February,November
Malacca,2.1896,102.2501,1500,4.1,February,November
Alor Setar,6.1213,100.3678,1620,4.4,March,December
Taiping,4.85,100.7333,1480,4.1,February,November
Seremban,2.7297,101.9381,1520,4.2,February,November
