Location,Latitude,Longitude,Depth_cm,pH,Base_Sat_pct,Land_Use
Johor Uplands,2,103.5,150,4.5,35,Oil Palm
Pahang Foothills,3.5,102.5,180,4.3,30,Rubber
Terengganu Interior,5,102.75,160,4.6,38,Forest
Kelantan Slopes,5.5,102,140,4.2,28,Agriculture
Perak Hills,4.5,101,170,4.7,40,Oil Palm
Kedah Red-Yellow,5.5,100.5,130,4.1,25,Paddy
Selangor Inland,3.25,101.5,190,4.8,45,Development
Negeri Sembilan,2.75,102.25,120,4,22,Oil Palm
Malacca Uplands,2.25,102.25,110,3.9,20,Agriculture
Sarawak Red-Yellow,2,113,200,4.9,50,Pepper
Sabah Interior,5,116.5,180,4.7,42,Oil Palm
Bintulu Area,3.1667,113.0333,170,4.6,40,Forest
Miri Slopes,4.3333,113.9833,160,4.5,38,Agriculture
Sibu Uplands,2.3,111.8167,150,4.4,35,Development
Kuching Hills,1.55,110.3333,190,4.8,48,Oil Palm
Serian District,1.1667,110.5833,180,4.7,45,Pepper
Sri Aman,1.25,111.4667,170,4.6,42,Agriculture
Betong Area,1.4167,111.5333,160,4.5,40,Oil Palm
Sarikei Uplands,2.1167,111.5167,150,4.4,38,Forest
Kapit Hills,2,112.9333,200,5,55,Rubber
Belaga Interior,2.75,113.75,190,4.9,52,Logging
Limbang Slopes,4.75,115,180,4.8,50,Agriculture
Lawas Uplands,4.9167,115.4167,170,4.7,48,Oil Palm
Kota Samarahan,1.4667,110.5,160,4.6,45,Development
Marudi Plateau,4.25,114.3333,200,5,60,Forest
