Location,Latitude,Longitude,Crack_Width_cm,Clay_pct,Shrink_Swell,Land_Use
Kedah Clay Plain,5.75,100.5,15,65,High,Paddy
Perlis Black Earth,6.5,100.25,12,60,Medium,Paddy
Seberang Perai,5.4167,100.3833,10,58,Medium,Vegetables
Krian Clay Basin,5,100.55,18,70,High,Sugarcane
Kerian Delta,4.9167,100.6333,14,63,High,Paddy
Penang Coastal Clay,5.4167,100.3167,8,55,Medium,Agriculture
Kuala Muda,5.6667,100.5,16,68,High,Paddy
Bagan Serai,4.9167,100.6333,13,62,High,Paddy
Parit Buntar,5.1167,100.5,11,59,Medium,Paddy
Taiping Clay,4.85,100.7333,9,57,Medium,Vegetables
Selama Area,5.2167,100.6833,17,67,High,Rubber
Baling Clay,5.6667,100.9167,14,64,High,Paddy
Gurun Plain,5.8333,100.5,12,61,Medium,Paddy
Yan District,5.8,100.3667,10,58,Medium,Paddy
Sik Clay Basin,5.8333,100.75,15,66,High,Paddy
